Protein Names,Gene Names,Majority Protein IDs,LFQ Intensity [log10],Sequence Coverage [%],Number of Peptides,FDA-approved Biomarker,Act in Plasma ,Tissue Leakage ,Receptor Ligands,Concentration according to Plasma Proteome Database [log10(pg/ml)],Q-value
Titin,TTN,Q8WZ42;E7ENC6;Q8WZ42-3;Q8WZ42-10;Q8WZ42-9;Q8WZ42-5;Q8WZ42-2;Q8WZ42-8;Q8WZ42-11;Q8WZ42-4;Q8WZ42-7,7.59,0.1,2,,,,,3.61,0.002
Transaldolase,TALDO1,P37837;F2Z393,7.27,10.1,3,,,,,4.18,0.000
Transcription elongation factor SPT6,SUPT6H,Q7KZ85;Q7KZ85-3,NaN,0.4,1,,,,,NaN,0.008
Transcription factor BTF3,BTF3,P20290;D6RDG3;P20290-2;H0Y9Y1,6.53,3.9,1,,,,,3.76,0.002
Transcription intermediary factor 1-beta,TRIM28,Q13263;Q13263-2,6.56,0.8,1,,,,,NaN,0.008
"Transferrin receptor protein 1;Transferrin receptor protein 1, serum form",TFRC,P02786;G3V0E5;F5H6B1,8.87,17.2,11,+,,+,,5.46,0.000
Transforming growth factor-beta-induced protein ig-h3,TGFBI,Q15582;G8JLA8;B9ZVW9;H0Y8L3,9.26,26.8,14,,,,,5.15,0.000
Transgelin-2,TAGLN2,P37802,7.06,5.5,1,,,,,5.08,0.001
Trans-Golgi network integral membrane protein 2,TGOLN2,O43493;O43493-2;F8W8W7;O43493-6;O43493-4;O43493-5;O43493-3;F8WBK2,NaN,2.9,1,,,,,NaN,0.000
Transitional endoplasmic reticulum ATPase,VCP,P55072,7.65,7.2,5,,,,,4.23,0.000
Transketolase,TKT,P29401;E7EPA7;B3KSI4;B4E022,9.07,30.0,15,,,,,4.95,0.000
Translationally-controlled tumor protein;TPT1-like protein,TPT1,P13693;Q56UQ5;E9PJF7;Q8TBK7,7.27,12.2,2,,,,,3.41,0.000
Transmembrane glycoprotein NMB,GPNMB,Q14956;F5GY20;Q14956-2;Q96F58,7.67,6.6,3,,,,,NaN,0.000
Transthyretin,TTR,P02766;E7EW61;F5H868,11.14,69.4,11,+,+,,,8.56,0.000
"Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase",HADHA,P40939,7.18,1.0,1,,,,,NaN,0.000
Trifunctional purine biosynthetic protein adenosine-3;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide formyltransferase,GART,P22102;B4DJ93;H7C489,6.87,2.4,2,,,,,3.49,0.000
Triosephosphate isomerase,TPI1,P60174;P60174-1,7.80,18.9,5,,,,,5.30,0.000
Tripartite motif-containing protein 29,TRIM29,Q14134;Q14134-2;B7Z8U9;E9PRL4,7.02,1.5,1,,,,,NaN,0.000
Tropomyosin alpha-3 chain,TPM3,P06753-2;P06753-3;Q5VU59;Q5VU58;Q8NAG3;Q5VU61;Q5VU72;Q5VU66;P06753;Q5VU63,7.29,10.5,3,,,,,5.53,0.000
Tropomyosin alpha-4 chain,TPM4,P67936;P67936-2,7.85,17.7,4,,,,,5.53,0.000
Tropomyosin beta chain,TPM2,P07951-2;Q5TCU3;P07951;CON__Q3SX28;Q5TCU8;P07951-3,NaN,3.5,1,,,,,5.53,0.000
"Tryptophan--tRNA ligase, cytoplasmic;T1-TrpRS;T2-TrpRS",WARS,P23381;P23381-2;G3V3H8;G3V3Y5,6.92,5.1,2,,,,,3.78,0.000
Tubulin alpha-1B chain;Tubulin alpha-1C chain;Tubulin alpha-1A chain;Tubulin alpha-4A chain;Tubulin alpha-3C/D chain;Tubulin alpha-3E chain,TUBA1B;TUBA1C;TUBA1A;TUBA4A;TUBA3C;KLK9;TUBA3E,P68363;Q9BQE3;F5H5D3;Q71U36;G3V1U9;P68366;E9PGK3;A8MUB1;Q13748;F8VVB9;Q6PEY2;Q13748-2;F8VQQ4;F8VXZ4,9.11,35.3,13,,,,,4.96,0.000
Tubulin beta chain;Tubulin beta-2B chain;Tubulin beta-2A chain;Tubulin beta-3 chain,TUBB;TUBB2B;TUBB2A;TUBB3,P07437;Q5JP53;F8VYX6;F8VW92;Q5ST81;F8VUJ7;Q9BVA1;Q13885;E7EWR1;Q13509;F5H894;F5H8C9;A8K854,8.15,33.8,13,,,,,4.43,0.000
Tubulin beta-4B chain;Tubulin beta-4A chain,TUBB4B;TUBB4A,P68371;P04350;B4DJ43,9.97,37.1,14,,,,,NaN,0.000
Tumor protein D54,TPD52L2,O43399;O43399-2;O43399-3;O43399-4;B4DPJ6;O43399-5;Q5JWU6,6.04,5.3,1,,,,,NaN,0.005
Twisted gastrulation protein homolog 1,TWSG1,Q9GZX9;Q9GZX9-2,NaN,4.0,1,,,,,NaN,0.000
Tyrosine-protein kinase receptor Tie-1,TIE1,P35590;B5A950;B5A949,NaN,0.6,1,,,,,NaN,0.000
Ubiquitin-conjugating enzyme E2 N;Putative ubiquitin-conjugating enzyme E2 N-like,UBE2N;UBE2NL,P61088;Q5JXB2;F8VQQ8,6.86,7.2,1,,,,,3.57,0.005
Ubiquitin-like modifier-activating enzyme 1,UBA1,P22314;B4DDE4;Q5JRR6,7.74,3.3,3,,,,,3.93,0.000
"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",B3GNT2,Q9NY97;Q9NY97-2,6.02,3.5,1,,,,,3.76,0.000
"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8",B3GNT8,Q7Z7M8,6.68,4.3,1,,,,,NaN,0.000
UDP-glucose:glycoprotein glucosyltransferase 1,UGGT1,Q9NYU2;Q9NYU2-2,7.10,0.6,1,,,,,3.20,0.000
Uncharacterized protein C16orf46,C16orf46,Q6P387;Q6P387-2,9.60,2.5,1,,,,,NaN,0.003
UPF0669 protein C6orf120,C6orf120,Q7Z4R8,7.08,14.1,1,,,,,NaN,0.000
"Uromodulin;Uromodulin, secreted form",UMOD,P07911-4;P07911;E9PEA4;P07911-2;P07911-3,7.72,6.6,4,,,,,3.15,0.000
UTP--glucose-1-phosphate uridylyltransferase,UGP2,Q16851;E7EUC7;Q16851-2,NaN,2.0,1,,,,,4.32,0.000
Vascular cell adhesion protein 1,VCAM1,P19320;E9PDD1;P19320-2;E9PDD2,8.87,13.4,10,,,,,4.80,0.000
Vascular endothelial growth factor receptor 3,FLT4,P35916;E9PD35;P35916-3;P35916-1;E9PFB0,6.60,0.7,1,,,,,3.61,0.000
Vasorin,VASN,Q6EMK4,9.07,11.4,6,,,,,4.92,0.000
Vesicle-associated membrane protein-associated protein A,VAPA,Q9P0L0;Q9P0L0-2,NaN,6.4,1,,,,,NaN,0.003
Vesicle-fusing ATPase,NSF,B4DFA2,NaN,1.6,1,,,,,NaN,0.009
Vesicular integral-membrane protein VIP36,LMAN2,Q12907;B4DWN1;D6RDX1;D6RBV2;D6RIU4,7.53,3.1,1,,,,,4.04,0.000
Vimentin,VIM,P08670;B0YJC4;F5H288;B0YJC5,8.98,37.3,19,,,,,7.45,0.000
Vinculin,VCL,P18206;P18206-2;F5H7T3;G8JLL3;Q5JQ13,8.19,11.7,13,,,,,4.95,0.000
Vinexin,SORBS3,O60504;H0YAU6;H0YAT3;E5RHS8;E7EQH0,7.04,2.5,1,,,,,NaN,0.001
Vitamin D-binding protein,GC,D6RF35;D6RAK8;D6RBJ7,10.58,44.7,23,,,,,7.78,0.000
Vitamin D-binding protein,GC,P02774;P02774-2,8.59,46.8,24,,,,,7.78,0.003
Vitamin K-dependent protein C;Vitamin K-dependent protein C light chain;Vitamin K-dependent protein C heavy chain;Activation peptide,PROC,P04070;F5H880;E7END6;B4DPQ7,9.38,14.5,6,+,+,,,5.70,0.000
Vitamin K-dependent protein S,PROS1,P07225;G5E9F8,9.79,21.9,14,+,+,,,7.14,0.000
Vitamin K-dependent protein Z,PROZ,P22891;P22891-2,9.03,14.2,5,,,,,6.52,0.000
Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B,VTN,P04004,10.45,34.5,14,,,,,7.65,0.000
Voltage-dependent anion-selective channel protein 1,VDAC1,P21796,7.86,10.6,3,,,,,3.54,0.000
Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1,CACNA2D1,P54289;F8WC36;P54289-5;P54289-2;P54289-3;P54289-4,7.39,2.9,3,,,,,4.18,0.000
von Willebrand factor;von Willebrand antigen 2,VWF,P04275,9.56,12.0,32,+,+,,,6.72,0.000
Xaa-Pro dipeptidase,PEPD,P12955;E9PCE8;P12955-2,8.31,12.0,5,,,,,4.85,0.000
X-ray repair cross-complementing protein 5,XRCC5,P13010,7.15,2.2,2,,,,,NaN,0.000
Y-box-binding protein 3,YBX3,P16989;P16989-3;P16989-2,7.71,8.3,3,,,,,NaN,0.000
Zinc finger protein 318,ZNF318,Q5VUA4,6.86,0.4,1,,,,,NaN,0.007
Zinc-alpha-2-glycoprotein,AZGP1,P25311;C9JEV0,10.40,53.4,17,,,,,7.70,0.000
,CHL1,H7C0J0,6.20,6.6,2,,,,,4.15,0.002
,PDIA3,H7BZJ3,7.21,20.3,2,,,,,4.51,0.000
,B2M,H0YLF3,8.83,28.2,2,,,,,6.49,0.000
,C1S,C9IZP8,7.60,16.5,1,,,,,6.72,0.000
,CFH,F8WDX4;C9JYL1;Q5TFM2,NaN,39.9,17,,,,,7.62,0.000
,ITIH4,B7ZKJ8;F5GXQ1,8.20,54.4,45,,,,,7.62,0.000
,SERPINF2,C9JPV4,6.83,47.0,9,,,,,7.74,0.000
,SERPINA3,G3V3A0,8.28,61.0,11,,,,,8.04,0.000
,CP,D6RE86,7.78,39.7,6,,,,,8.23,0.000
,FGG,C9JPQ9;C9JU00,9.17,76.5,13,,,,,8.43,0.008
,,A6NG18,10.49,28.7,17,,,,,NaN,0.000
,,E7ETN3,NaN,38.3,41,,,,,NaN,0.000
,,F8VNY6,NaN,42.7,16,,,,,NaN,0.002
