Majority Protein IDs,Abundance Rank,Sample,Protein Names,LFQ Intensity [log10],Overlap,Abundance Level,Leading razor protein
B7ZKN0,292.0,,Neogenin,8.43,Geyer Only,Mid,
E7EUX3,292.0,,Neogenin,8.43,Geyer Only,Mid,
Q59FP8,292.0,,Neogenin,8.43,Geyer Only,Mid,
P24821,293.0,,Tenascin,8.43,Geyer Only,Mid,
P24821-4,293.0,,Tenascin,8.43,Geyer Only,Mid,
E9PC84,293.0,,Tenascin,8.43,Geyer Only,Mid,
P24821-3,293.0,,Tenascin,8.43,Geyer Only,Mid,
F5H7V9,293.0,,Tenascin,8.43,Geyer Only,Mid,
P24821-5,293.0,,Tenascin,8.43,Geyer Only,Mid,
P24821-2,293.0,,Tenascin,8.43,Geyer Only,Mid,
P24821-6,293.0,,Tenascin,8.43,Geyer Only,Mid,
P06702,294.0,,Protein S100-A9,8.43,Geyer Only,Mid,
P10599,295.0,,Thioredoxin,8.42,Geyer Only,Mid,
B1ALW1,295.0,,Thioredoxin,8.42,Geyer Only,Mid,
Q16853,296.0,,Membrane primary amine oxidase,8.42,Geyer Only,Mid,
P16403,297.0,,Histone H1.2;Histone H1.4;Histone H1.3,8.41,Geyer Only,Mid,
P10412,297.0,,Histone H1.2;Histone H1.4;Histone H1.3,8.41,Geyer Only,Mid,
P16402,297.0,,Histone H1.2;Histone H1.4;Histone H1.3,8.41,Geyer Only,Mid,
P07355,298.0,,Annexin A2;Annexin;Putative annexin A2-like protein,8.41,Geyer Only,Mid,
H0YN42,298.0,,Annexin A2;Annexin;Putative annexin A2-like protein,8.41,Geyer Only,Mid,
P07355-2,298.0,,Annexin A2;Annexin;Putative annexin A2-like protein,8.41,Geyer Only,Mid,
A6NMY6,298.0,,Annexin A2;Annexin;Putative annexin A2-like protein,8.41,Geyer Only,Mid,
H0YKS4,298.0,,Annexin A2;Annexin;Putative annexin A2-like protein,8.41,Geyer Only,Mid,
H0YMD0,298.0,,Annexin A2;Annexin;Putative annexin A2-like protein,8.41,Geyer Only,Mid,
H0YMU9,298.0,,Annexin A2;Annexin;Putative annexin A2-like protein,8.41,Geyer Only,Mid,
H0YMM1,298.0,,Annexin A2;Annexin;Putative annexin A2-like protein,8.41,Geyer Only,Mid,
H0YM50,298.0,,Annexin A2;Annexin;Putative annexin A2-like protein,8.41,Geyer Only,Mid,
H0YKZ7,298.0,,Annexin A2;Annexin;Putative annexin A2-like protein,8.41,Geyer Only,Mid,
H0YLV6,298.0,,Annexin A2;Annexin;Putative annexin A2-like protein,8.41,Geyer Only,Mid,
H0YMT9,298.0,,Annexin A2;Annexin;Putative annexin A2-like protein,8.41,Geyer Only,Mid,
H0YKX9,298.0,,Annexin A2;Annexin;Putative annexin A2-like protein,8.41,Geyer Only,Mid,
P63104,299.0,,14-3-3 protein zeta/delta,8.4,Geyer Only,Mid,
E7EX29,299.0,,14-3-3 protein zeta/delta,8.4,Geyer Only,Mid,
B0AZS6,299.0,,14-3-3 protein zeta/delta,8.4,Geyer Only,Mid,
E7EX24,299.0,,14-3-3 protein zeta/delta,8.4,Geyer Only,Mid,
B7Z2E6,299.0,,14-3-3 protein zeta/delta,8.4,Geyer Only,Mid,
H0YB80,299.0,,14-3-3 protein zeta/delta,8.4,Geyer Only,Mid,
A6NJ16,300.0,,Putative V-set and immunoglobulin domain-containing-like protein IGHV4OR15-8,8.4,Geyer Only,Mid,
P62841,301.0,,40S ribosomal protein S15,8.4,Geyer Only,Mid,
Q76LX8,302.0,,A disintegrin and metalloproteinase with thrombospondin motifs 13,8.39,Geyer Only,Mid,
Q76LX8-2,302.0,,A disintegrin and metalloproteinase with thrombospondin motifs 13,8.39,Geyer Only,Mid,
Q76LX8-3,302.0,,A disintegrin and metalloproteinase with thrombospondin motifs 13,8.39,Geyer Only,Mid,
Q7Z7G0,303.0,,Target of Nesh-SH3,8.39,Geyer Only,Mid,
Q7Z7G0-4,303.0,,Target of Nesh-SH3,8.39,Geyer Only,Mid,
D3YTD6,303.0,,Target of Nesh-SH3,8.39,Geyer Only,Mid,
B4DSV9,303.0,,Target of Nesh-SH3,8.39,Geyer Only,Mid,
H0Y897,303.0,,Target of Nesh-SH3,8.39,Geyer Only,Mid,
D3YTG3,303.0,,Target of Nesh-SH3,8.39,Geyer Only,Mid,
Q7Z7G0-3,303.0,,Target of Nesh-SH3,8.39,Geyer Only,Mid,
Q7Z7G0-2,303.0,,Target of Nesh-SH3,8.39,Geyer Only,Mid,
P04746,304.0,,Pancreatic alpha-amylase;Alpha-amylase 2B;Alpha-amylase 1;Alpha-amylase,8.38,Geyer Only,Mid,
P19961,304.0,,Pancreatic alpha-amylase;Alpha-amylase 2B;Alpha-amylase 1;Alpha-amylase,8.38,Geyer Only,Mid,
P04745,304.0,,Pancreatic alpha-amylase;Alpha-amylase 2B;Alpha-amylase 1;Alpha-amylase,8.38,Geyer Only,Mid,
B3KTI1,304.0,,Pancreatic alpha-amylase;Alpha-amylase 2B;Alpha-amylase 1;Alpha-amylase,8.38,Geyer Only,Mid,
Q5T085,304.0,,Pancreatic alpha-amylase;Alpha-amylase 2B;Alpha-amylase 1;Alpha-amylase,8.38,Geyer Only,Mid,
P08519,305.0,,Apolipoprotein(a),8.38,Geyer Only,Mid,
P55290,306.0,,Cadherin-13,8.38,Geyer Only,Mid,
F5H6D5,306.0,,Cadherin-13,8.38,Geyer Only,Mid,
B7Z590,306.0,,Cadherin-13,8.38,Geyer Only,Mid,
P04040,307.0,,Catalase,8.37,Geyer Only,Mid,
P36578,308.0,,60S ribosomal protein L4,8.37,Geyer Only,Mid,
E7EWF1,308.0,,60S ribosomal protein L4,8.37,Geyer Only,Mid,
H3BU31,308.0,,60S ribosomal protein L4,8.37,Geyer Only,Mid,
B4DP82,308.0,,60S ribosomal protein L4,8.37,Geyer Only,Mid,
H3BTP7,308.0,,60S ribosomal protein L4,8.37,Geyer Only,Mid,
H3BM89,308.0,,60S ribosomal protein L4,8.37,Geyer Only,Mid,
P08294,309.0,,Extracellular superoxide dismutase [Cu-Zn],8.37,Geyer Only,Mid,
P19338,310.0,,Nucleolin,8.37,Geyer Only,Mid,
E7EX81,310.0,,Nucleolin,8.37,Geyer Only,Mid,
H7BY16,310.0,,Nucleolin,8.37,Geyer Only,Mid,
Q9BQ02,310.0,,Nucleolin,8.37,Geyer Only,Mid,
P26641,311.0,,Elongation factor 1-gamma,8.36,Geyer Only,Mid,
B4DTG2,311.0,,Elongation factor 1-gamma,8.36,Geyer Only,Mid,
B4DUP0,311.0,,Elongation factor 1-gamma,8.36,Geyer Only,Mid,
P61604,312.0,,"10 kDa heat shock protein, mitochondrial",8.36,Geyer Only,Mid,
B8ZZL8,312.0,,"10 kDa heat shock protein, mitochondrial",8.36,Geyer Only,Mid,
B1ALD9,313.0,,Periostin,8.35,Geyer Only,Mid,
Q15063-3,313.0,,Periostin,8.35,Geyer Only,Mid,
Q15063-4,313.0,,Periostin,8.35,Geyer Only,Mid,
Q13103,314.0,,Secreted phosphoprotein 24,8.35,Geyer Only,Mid,
O95479,315.0,,GDH/6PGL endoplasmic bifunctional protein;Glucose 1-dehydrogenase;6-phosphogluconolactonase,8.34,Geyer Only,Mid,
P15151,316.0,,Poliovirus receptor,8.34,Geyer Only,Mid,
P15151-3,316.0,,Poliovirus receptor,8.34,Geyer Only,Mid,
P15151-2,316.0,,Poliovirus receptor,8.34,Geyer Only,Mid,
P15151-4,316.0,,Poliovirus receptor,8.34,Geyer Only,Mid,
P22626,317.0,,Heterogeneous nuclear ribonucleoproteins A2/B1,8.33,Geyer Only,Mid,
P22626-2,317.0,,Heterogeneous nuclear ribonucleoproteins A2/B1,8.33,Geyer Only,Mid,
P33908,318.0,,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",8.33,Geyer Only,Mid,
Q6P052,318.0,,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",8.33,Geyer Only,Mid,
P07359,319.0,,Platelet glycoprotein Ib alpha chain;Glycocalicin,8.33,Geyer Only,Mid,
E7ES66,319.0,,Platelet glycoprotein Ib alpha chain;Glycocalicin,8.33,Geyer Only,Mid,
Q99969,320.0,,Retinoic acid receptor responder protein 2,8.32,Geyer Only,Mid,
C9J8S2,320.0,,Retinoic acid receptor responder protein 2,8.32,Geyer Only,Mid,
P12955,321.0,,Xaa-Pro dipeptidase,8.31,Geyer Only,Mid,
E9PCE8,321.0,,Xaa-Pro dipeptidase,8.31,Geyer Only,Mid,
P12955-2,321.0,,Xaa-Pro dipeptidase,8.31,Geyer Only,Mid,
Q9Y5Y7,322.0,,Lymphatic vessel endothelial hyaluronic acid receptor 1,8.31,Geyer Only,Mid,
P23142-4,323.0,,Fibulin-1,8.31,Geyer Only,Mid,
B1AHL2,323.0,,Fibulin-1,8.31,Geyer Only,Mid,
P02545,324.0,,Prelamin-A/C;Lamin-A/C,8.3,Geyer Only,Mid,
P02545-3,324.0,,Prelamin-A/C;Lamin-A/C,8.3,Geyer Only,Mid,
P02545-2,324.0,,Prelamin-A/C;Lamin-A/C,8.3,Geyer Only,Mid,
Q6UYC3,324.0,,Prelamin-A/C;Lamin-A/C,8.3,Geyer Only,Mid,
Q5TCJ4,324.0,,Prelamin-A/C;Lamin-A/C,8.3,Geyer Only,Mid,
Q3BDU5,324.0,,Prelamin-A/C;Lamin-A/C,8.3,Geyer Only,Mid,
D6RAQ3,324.0,,Prelamin-A/C;Lamin-A/C,8.3,Geyer Only,Mid,
E7EUI9,324.0,,Prelamin-A/C;Lamin-A/C,8.3,Geyer Only,Mid,
Q5TCI8,324.0,,Prelamin-A/C;Lamin-A/C,8.3,Geyer Only,Mid,
P06576,325.0,,"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta",8.29,Geyer Only,Mid,
F8VPV9,325.0,,"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta",8.29,Geyer Only,Mid,
H0YH81,325.0,,"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta",8.29,Geyer Only,Mid,
F8W079,325.0,,"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta",8.29,Geyer Only,Mid,
P03950,326.0,,Angiogenin,8.29,Geyer Only,Mid,
P48740,327.0,,Mannan-binding lectin serine protease 1;Mannan-binding lectin serine protease 1 heavy chain;Mannan-binding lectin serine protease 1 light chain,8.29,Geyer Only,Mid,
Q9H257,328.0,,Caspase recruitment domain-containing protein 9,8.28,Geyer Only,Mid,
Q9H257-3,328.0,,Caspase recruitment domain-containing protein 9,8.28,Geyer Only,Mid,
Q9H257-2,328.0,,Caspase recruitment domain-containing protein 9,8.28,Geyer Only,Mid,
P04208,329.0,,Ig lambda chain V-I region WAH;Ig lambda chain V-I region HA,8.28,Geyer Only,Mid,
P01700,329.0,,Ig lambda chain V-I region WAH;Ig lambda chain V-I region HA,8.28,Geyer Only,Mid,
G3V3A0,330.0,,,8.28,Geyer Only,Mid,
Q14624-2,331.0,,Inter-alpha-trypsin inhibitor heavy chain H4;70 kDa inter-alpha-trypsin inhibitor heavy chain H4;35 kDa inter-alpha-trypsin inhibitor heavy chain H4,8.27,Geyer Only,Mid,
E9PGN5,331.0,,Inter-alpha-trypsin inhibitor heavy chain H4;70 kDa inter-alpha-trypsin inhibitor heavy chain H4;35 kDa inter-alpha-trypsin inhibitor heavy chain H4,8.27,Geyer Only,Mid,
F5H194,331.0,,Inter-alpha-trypsin inhibitor heavy chain H4;70 kDa inter-alpha-trypsin inhibitor heavy chain H4;35 kDa inter-alpha-trypsin inhibitor heavy chain H4,8.27,Geyer Only,Mid,
H7C0L5,331.0,,Inter-alpha-trypsin inhibitor heavy chain H4;70 kDa inter-alpha-trypsin inhibitor heavy chain H4;35 kDa inter-alpha-trypsin inhibitor heavy chain H4,8.27,Geyer Only,Mid,
P07737,332.0,,Profilin-1,8.25,Geyer Only,Mid,
Q12805,333.0,,EGF-containing fibulin-like extracellular matrix protein 1,8.25,Geyer Only,Mid,
B4DW75,333.0,,EGF-containing fibulin-like extracellular matrix protein 1,8.25,Geyer Only,Mid,
Q12805-2,333.0,,EGF-containing fibulin-like extracellular matrix protein 1,8.25,Geyer Only,Mid,
Q12805-4,333.0,,EGF-containing fibulin-like extracellular matrix protein 1,8.25,Geyer Only,Mid,
Q12805-3,333.0,,EGF-containing fibulin-like extracellular matrix protein 1,8.25,Geyer Only,Mid,
E9PGL6,333.0,,EGF-containing fibulin-like extracellular matrix protein 1,8.25,Geyer Only,Mid,
P63241,334.0,,Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-2;Eukaryotic translation initiation factor 5A-1-like,8.23,Geyer Only,Mid,
I3L397,334.0,,Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-2;Eukaryotic translation initiation factor 5A-1-like,8.23,Geyer Only,Mid,
I3L504,334.0,,Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-2;Eukaryotic translation initiation factor 5A-1-like,8.23,Geyer Only,Mid,
P63241-2,334.0,,Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-2;Eukaryotic translation initiation factor 5A-1-like,8.23,Geyer Only,Mid,
Q9GZV4,334.0,,Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-2;Eukaryotic translation initiation factor 5A-1-like,8.23,Geyer Only,Mid,
F8WCJ1,334.0,,Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-2;Eukaryotic translation initiation factor 5A-1-like,8.23,Geyer Only,Mid,
C9J7B5,334.0,,Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-2;Eukaryotic translation initiation factor 5A-1-like,8.23,Geyer Only,Mid,
C9J4W5,334.0,,Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-2;Eukaryotic translation initiation factor 5A-1-like,8.23,Geyer Only,Mid,
Q6IS14,334.0,,Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-2;Eukaryotic translation initiation factor 5A-1-like,8.23,Geyer Only,Mid,
P05023,335.0,,Sodium/potassium-transporting ATPase subunit alpha-1,8.23,Geyer Only,Mid,
B7Z3U6,335.0,,Sodium/potassium-transporting ATPase subunit alpha-1,8.23,Geyer Only,Mid,
F5H3A1,335.0,,Sodium/potassium-transporting ATPase subunit alpha-1,8.23,Geyer Only,Mid,
P05023-2,335.0,,Sodium/potassium-transporting ATPase subunit alpha-1,8.23,Geyer Only,Mid,
H7BXX5,335.0,,Sodium/potassium-transporting ATPase subunit alpha-1,8.23,Geyer Only,Mid,
Q14126,336.0,,Desmoglein-2,8.23,Geyer Only,Mid,
P09429,337.0,,High mobility group protein B1;Putative high mobility group protein B1-like 1,8.22,Geyer Only,Mid,
Q5T7C4,337.0,,High mobility group protein B1;Putative high mobility group protein B1-like 1,8.22,Geyer Only,Mid,
Q5T7C6,337.0,,High mobility group protein B1;Putative high mobility group protein B1-like 1,8.22,Geyer Only,Mid,
B2RPK0,337.0,,High mobility group protein B1;Putative high mobility group protein B1-like 1,8.22,Geyer Only,Mid,
Q9Y6Z7,338.0,,Collectin-10,8.22,Geyer Only,Mid,
P10720,339.0,,"Platelet factor 4 variant;Platelet factor 4 variant(4-74);Platelet factor 4 variant(5-74);Platelet factor 4 variant(6-74);Platelet factor 4;Platelet factor 4, short form",8.22,Geyer Only,Mid,
P02776,339.0,,"Platelet factor 4 variant;Platelet factor 4 variant(4-74);Platelet factor 4 variant(5-74);Platelet factor 4 variant(6-74);Platelet factor 4;Platelet factor 4, short form",8.22,Geyer Only,Mid,
P43121,340.0,,Cell surface glycoprotein MUC18,8.22,Geyer Only,Mid,
P43121-2,340.0,,Cell surface glycoprotein MUC18,8.22,Geyer Only,Mid,
Q9UNW1,341.0,,Multiple inositol polyphosphate phosphatase 1,8.21,Geyer Only,Mid,
B4E394,341.0,,Multiple inositol polyphosphate phosphatase 1,8.21,Geyer Only,Mid,
F5H683,341.0,,Multiple inositol polyphosphate phosphatase 1,8.21,Geyer Only,Mid,
Q99784,342.0,,Noelin,8.21,Geyer Only,Mid,
Q6IMJ5,342.0,,Noelin,8.21,Geyer Only,Mid,
Q99784-3,342.0,,Noelin,8.21,Geyer Only,Mid,
F5H810,342.0,,Noelin,8.21,Geyer Only,Mid,
Q9BXR6,343.0,,Complement factor H-related protein 5,8.21,Geyer Only,Mid,
P07237,344.0,,Protein disulfide-isomerase,8.21,Geyer Only,Mid,
E7EPA8,344.0,,Protein disulfide-isomerase,8.21,Geyer Only,Mid,
I3L2P8,344.0,,Protein disulfide-isomerase,8.21,Geyer Only,Mid,
F5H8J2,344.0,,Protein disulfide-isomerase,8.21,Geyer Only,Mid,
B4DUA5,344.0,,Protein disulfide-isomerase,8.21,Geyer Only,Mid,
H7BZ94,344.0,,Protein disulfide-isomerase,8.21,Geyer Only,Mid,
H0Y3Z3,344.0,,Protein disulfide-isomerase,8.21,Geyer Only,Mid,
Q8NBP7,345.0,,Proprotein convertase subtilisin/kexin type 9,8.21,Geyer Only,Mid,
F5GYH2,346.0,,Lysine-specific demethylase 4C,8.2,Geyer Only,Mid,
C9J879,346.0,,Lysine-specific demethylase 4C,8.2,Geyer Only,Mid,
E7EV17,346.0,,Lysine-specific demethylase 4C,8.2,Geyer Only,Mid,
F5H347,346.0,,Lysine-specific demethylase 4C,8.2,Geyer Only,Mid,
F5H7P0,346.0,,Lysine-specific demethylase 4C,8.2,Geyer Only,Mid,
Q9H3R0-2,346.0,,Lysine-specific demethylase 4C,8.2,Geyer Only,Mid,
B7ZKJ8,347.0,,,8.2,Geyer Only,Mid,
F5GXQ1,347.0,,,8.2,Geyer Only,Mid,
P00558,348.0,,Phosphoglycerate kinase 1;Phosphoglycerate kinase,8.2,Geyer Only,Mid,
B7Z7A9,348.0,,Phosphoglycerate kinase 1;Phosphoglycerate kinase,8.2,Geyer Only,Mid,
B4E1H9,348.0,,Phosphoglycerate kinase 1;Phosphoglycerate kinase,8.2,Geyer Only,Mid,
B4DHM5,348.0,,Phosphoglycerate kinase 1;Phosphoglycerate kinase,8.2,Geyer Only,Mid,
E7ERH5,348.0,,Phosphoglycerate kinase 1;Phosphoglycerate kinase,8.2,Geyer Only,Mid,
P15924,349.0,,Desmoplakin,8.2,Geyer Only,Mid,
P15924-2,349.0,,Desmoplakin,8.2,Geyer Only,Mid,
P18206,350.0,,Vinculin,8.19,Geyer Only,Mid,
P18206-2,350.0,,Vinculin,8.19,Geyer Only,Mid,
F5H7T3,350.0,,Vinculin,8.19,Geyer Only,Mid,
G8JLL3,350.0,,Vinculin,8.19,Geyer Only,Mid,
Q5JQ13,350.0,,Vinculin,8.19,Geyer Only,Mid,
P07333,351.0,,Macrophage colony-stimulating factor 1 receptor,8.19,Geyer Only,Mid,
E9PEK4,351.0,,Macrophage colony-stimulating factor 1 receptor,8.19,Geyer Only,Mid,
B5A955,351.0,,Macrophage colony-stimulating factor 1 receptor,8.19,Geyer Only,Mid,
P23528,352.0,,Cofilin-1,8.18,Geyer Only,Mid,
G3V1A4,352.0,,Cofilin-1,8.18,Geyer Only,Mid,
E9PP50,352.0,,Cofilin-1,8.18,Geyer Only,Mid,
E9PK25,352.0,,Cofilin-1,8.18,Geyer Only,Mid,
E9PQB7,352.0,,Cofilin-1,8.18,Geyer Only,Mid,
E9PLJ3,352.0,,Cofilin-1,8.18,Geyer Only,Mid,
E9PS23,352.0,,Cofilin-1,8.18,Geyer Only,Mid,
Q86UX7,353.0,,Fermitin family homolog 3,8.18,Geyer Only,Mid,
Q86UX7-2,353.0,,Fermitin family homolog 3,8.18,Geyer Only,Mid,
F5H1C6,353.0,,Fermitin family homolog 3,8.18,Geyer Only,Mid,
P30038,354.0,,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",8.17,Geyer Only,Mid,
P30038-2,354.0,,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",8.17,Geyer Only,Mid,
D2D4A3,354.0,,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",8.17,Geyer Only,Mid,
Q6YHK3,355.0,,CD109 antigen,8.17,Geyer Only,Mid,
Q6YHK3-4,355.0,,CD109 antigen,8.17,Geyer Only,Mid,
Q6YHK3-2,355.0,,CD109 antigen,8.17,Geyer Only,Mid,
Q6YHK3-3,355.0,,CD109 antigen,8.17,Geyer Only,Mid,
Q08830,356.0,,Fibrinogen-like protein 1,8.17,Geyer Only,Mid,
E7ERS0,356.0,,Fibrinogen-like protein 1,8.17,Geyer Only,Mid,
Q9H4G4,357.0,,Golgi-associated plant pathogenesis-related protein 1,8.16,Geyer Only,Mid,
Q5VZR0,357.0,,Golgi-associated plant pathogenesis-related protein 1,8.16,Geyer Only,Mid,
P00352,358.0,,Retinal dehydrogenase 1,8.16,Geyer Only,Mid,
H0Y4S2,358.0,,Retinal dehydrogenase 1,8.16,Geyer Only,Mid,
Q08554-2,359.0,,Desmocollin-1,8.16,Geyer Only,Mid,
Q08554,359.0,,Desmocollin-1,8.16,Geyer Only,Mid,
P26038,360.0,,Moesin,8.15,Geyer Only,Mid,
P07437,361.0,,Tubulin beta chain;Tubulin beta-2B chain;Tubulin beta-2A chain;Tubulin beta-3 chain,8.15,Geyer Only,Mid,
Q5JP53,361.0,,Tubulin beta chain;Tubulin beta-2B chain;Tubulin beta-2A chain;Tubulin beta-3 chain,8.15,Geyer Only,Mid,
F8VYX6,361.0,,Tubulin beta chain;Tubulin beta-2B chain;Tubulin beta-2A chain;Tubulin beta-3 chain,8.15,Geyer Only,Mid,
F8VW92,361.0,,Tubulin beta chain;Tubulin beta-2B chain;Tubulin beta-2A chain;Tubulin beta-3 chain,8.15,Geyer Only,Mid,
Q5ST81,361.0,,Tubulin beta chain;Tubulin beta-2B chain;Tubulin beta-2A chain;Tubulin beta-3 chain,8.15,Geyer Only,Mid,
F8VUJ7,361.0,,Tubulin beta chain;Tubulin beta-2B chain;Tubulin beta-2A chain;Tubulin beta-3 chain,8.15,Geyer Only,Mid,
Q9BVA1,361.0,,Tubulin beta chain;Tubulin beta-2B chain;Tubulin beta-2A chain;Tubulin beta-3 chain,8.15,Geyer Only,Mid,
Q13885,361.0,,Tubulin beta chain;Tubulin beta-2B chain;Tubulin beta-2A chain;Tubulin beta-3 chain,8.15,Geyer Only,Mid,
E7EWR1,361.0,,Tubulin beta chain;Tubulin beta-2B chain;Tubulin beta-2A chain;Tubulin beta-3 chain,8.15,Geyer Only,Mid,
Q13509,361.0,,Tubulin beta chain;Tubulin beta-2B chain;Tubulin beta-2A chain;Tubulin beta-3 chain,8.15,Geyer Only,Mid,
F5H894,361.0,,Tubulin beta chain;Tubulin beta-2B chain;Tubulin beta-2A chain;Tubulin beta-3 chain,8.15,Geyer Only,Mid,
F5H8C9,361.0,,Tubulin beta chain;Tubulin beta-2B chain;Tubulin beta-2A chain;Tubulin beta-3 chain,8.15,Geyer Only,Mid,
A8K854,361.0,,Tubulin beta chain;Tubulin beta-2B chain;Tubulin beta-2A chain;Tubulin beta-3 chain,8.15,Geyer Only,Mid,
Q9NPG4,362.0,,Protocadherin-12,8.14,Geyer Only,Mid,
P01602,363.0,,Ig kappa chain V-I region HK102,8.14,Geyer Only,Mid,
P12111,364.0,,Collagen alpha-3(VI) chain,8.14,Geyer Only,Mid,
E9PCV6,364.0,,Collagen alpha-3(VI) chain,8.14,Geyer Only,Mid,
E7ENL6,364.0,,Collagen alpha-3(VI) chain,8.14,Geyer Only,Mid,
P12111-2,364.0,,Collagen alpha-3(VI) chain,8.14,Geyer Only,Mid,
E9PFQ6,364.0,,Collagen alpha-3(VI) chain,8.14,Geyer Only,Mid,
E9PGQ9,364.0,,Collagen alpha-3(VI) chain,8.14,Geyer Only,Mid,
P12111-3,364.0,,Collagen alpha-3(VI) chain,8.14,Geyer Only,Mid,
O43707,365.0,,Alpha-actinin-4,8.14,Geyer Only,Mid,
E7EV83,365.0,,Alpha-actinin-4,8.14,Geyer Only,Mid,
D6PXK4,365.0,,Alpha-actinin-4,8.14,Geyer Only,Mid,
O95497,366.0,,Pantetheinase,8.12,Geyer Only,Mid,
P05120,367.0,,Plasminogen activator inhibitor 2,8.12,Geyer Only,Mid,
H7C004,367.0,,Plasminogen activator inhibitor 2,8.12,Geyer Only,Mid,
H7BYS2,367.0,,Plasminogen activator inhibitor 2,8.12,Geyer Only,Mid,
Q86UD1,368.0,,Out at first protein homolog,8.12,Geyer Only,Mid,
E9PJ29,368.0,,Out at first protein homolog,8.12,Geyer Only,Mid,
P20774,369.0,,Mimecan,8.12,Geyer Only,Mid,
Q5TBF5,369.0,,Mimecan,8.12,Geyer Only,Mid,
P35443,370.0,,Thrombospondin-4,8.12,Geyer Only,Mid,
E7ES19,370.0,,Thrombospondin-4,8.12,Geyer Only,Mid,
P63313,371.0,,Thymosin beta-10,8.12,Geyer Only,Mid,
P62899,372.0,,60S ribosomal protein L31,8.11,Geyer Only,Mid,
P62899-3,372.0,,60S ribosomal protein L31,8.11,Geyer Only,Mid,
P62899-2,372.0,,60S ribosomal protein L31,8.11,Geyer Only,Mid,
B8ZZK4,372.0,,60S ribosomal protein L31,8.11,Geyer Only,Mid,
H7C2W9,372.0,,60S ribosomal protein L31,8.11,Geyer Only,Mid,
C9JU56,372.0,,60S ribosomal protein L31,8.11,Geyer Only,Mid,
B7Z4E3,372.0,,60S ribosomal protein L31,8.11,Geyer Only,Mid,
B7Z4C8,372.0,,60S ribosomal protein L31,8.11,Geyer Only,Mid,
P22392-2,373.0,,Nucleoside diphosphate kinase B;Nucleoside diphosphate kinase;Putative nucleoside diphosphate kinase,8.11,Geyer Only,Mid,
Q32Q12,373.0,,Nucleoside diphosphate kinase B;Nucleoside diphosphate kinase;Putative nucleoside diphosphate kinase,8.11,Geyer Only,Mid,
P22392,373.0,,Nucleoside diphosphate kinase B;Nucleoside diphosphate kinase;Putative nucleoside diphosphate kinase,8.11,Geyer Only,Mid,
E7ERL0,373.0,,Nucleoside diphosphate kinase B;Nucleoside diphosphate kinase;Putative nucleoside diphosphate kinase,8.11,Geyer Only,Mid,
O60361,373.0,,Nucleoside diphosphate kinase B;Nucleoside diphosphate kinase;Putative nucleoside diphosphate kinase,8.11,Geyer Only,Mid,
P05141,374.0,,"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed",8.11,Geyer Only,Mid,
P38646,375.0,,"Stress-70 protein, mitochondrial",8.11,Geyer Only,Mid,
B7Z4V2,375.0,,"Stress-70 protein, mitochondrial",8.11,Geyer Only,Mid,
F5H3L8,375.0,,"Stress-70 protein, mitochondrial",8.11,Geyer Only,Mid,
P49913,376.0,,Cathelicidin antimicrobial peptide;Antibacterial protein FALL-39;Antibacterial protein LL-37,8.1,Geyer Only,Mid,
P30041,377.0,,Peroxiredoxin-6,8.1,Geyer Only,Mid,
P12830,378.0,,Cadherin-1;E-Cad/CTF1;E-Cad/CTF2;E-Cad/CTF3,8.09,Geyer Only,Mid,
F5GYI6,378.0,,Cadherin-1;E-Cad/CTF1;E-Cad/CTF2;E-Cad/CTF3,8.09,Geyer Only,Mid,
H7BXH4,378.0,,Cadherin-1;E-Cad/CTF1;E-Cad/CTF2;E-Cad/CTF3,8.09,Geyer Only,Mid,
Q9UII8,378.0,,Cadherin-1;E-Cad/CTF1;E-Cad/CTF2;E-Cad/CTF3,8.09,Geyer Only,Mid,
H3BNC6,378.0,,Cadherin-1;E-Cad/CTF1;E-Cad/CTF2;E-Cad/CTF3,8.09,Geyer Only,Mid,
Q07954,379.0,,Prolow-density lipoprotein receptor-related protein 1;Low-density lipoprotein receptor-related protein 1 85 kDa subunit;Low-density lipoprotein receptor-related protein 1 515 kDa subunit;Low-density lipoprotein receptor-related protein 1 intracellular domain,8.07,Geyer Only,Mid,
